City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
420,amapa,1.0,-52.0,22.43,97,100,1.11,BR,1675116715
421,sambava,-14.2667,50.1667,24.78,93,29,1.48,MG,1675116929
422,ostrovnoy,68.0531,39.5131,-3.59,91,100,5.72,RU,1675116929
423,asfi,32.2994,-9.2372,12.25,65,26,2.62,MA,1675116930
424,teya,60.3778,92.6267,-29.42,100,100,1.74,RU,1675116930
425,kingisepp,59.3733,28.6134,0.84,93,100,6.21,RU,1675116930
426,lavassaare,58.5114,24.3889,1.01,93,100,5.14,EE,1675116931
427,richards bay,-28.783,32.0377,21.31,91,100,1.32,ZA,1675116932
428,santa maria,-29.6842,-53.8069,31.62,27,1,3.2,BR,1675116789
429,zelenoborskiy,66.845,32.3622,-3.09,96,100,4.52,RU,1675116932
430,stornoway,58.2093,-6.3865,8.98,93,40,9.77,GB,1675116932
431,de-kastri,51.4667,140.7833,-27.94,95,17,2.25,RU,1675116933
432,serebryansk,49.6925,83.2892,-19.4,92,26,1.71,KZ,1675116933
433,flin flon,54.7682,-101.865,-18.91,87,71,4.4,CA,1675116934
434,maniitsoq,65.4167,-52.9,-9.35,88,100,5.62,GL,1675116934
435,hirata,35.4333,132.8167,-0.02,100,75,1.03,JP,1675116935
436,nyurba,63.2842,118.3319,-37.18,98,99,1.25,RU,1675116935
437,karimpur,23.9667,88.6167,17.18,58,2,2.58,IN,1675116936
438,eydhafushi,5.1033,73.0708,26.16,73,13,2.7,MV,1675116936
439,viedma,-40.8135,-62.9967,25.57,55,50,11.2,AR,1675116936
440,willowmore,-33.2926,23.4895,15.69,76,18,7.35,ZA,1675116937
441,sloboda,51.1421,40.3021,-3.3,96,48,3.38,RU,1675116937
442,bereda,43.2686,-7.5406,-1.59,100,15,1.02,ES,1675116937
443,twentynine palms,34.1356,-116.0542,13.08,49,58,0.89,US,1675116678
444,siavonga,-16.5382,28.7088,23.1,89,86,2.43,ZM,1675116938
445,nuevo progreso,23.1667,-97.95,27.16,60,16,2.24,MX,1675116938
446,north bend,43.4065,-124.2243,8.98,61,0,2.57,US,1675116907
447,acari,-15.4311,-74.6158,24.37,83,99,3.43,PE,1675116939
448,ambulu,-8.345,113.6058,24.92,90,100,1.5,ID,1675116939
449,tilichiki,60.4667,166.1,-15.16,94,75,3.25,RU,1675116940
450,tabou,4.423,-7.3528,26.17,82,97,1.79,CI,1675116940
451,jasper,37.2001,-94.3502,-5.57,68,100,6.69,US,1675116940
452,san cristobal,7.7669,-72.225,24.1,51,8,1.78,VE,1675116941
453,kununurra,-15.7667,128.7333,24.99,100,100,0.0,AU,1675116925
454,belaya gora,68.5333,146.4167,-24.03,97,100,4.84,RU,1675116743
455,las vegas,36.175,-115.1372,8.06,70,100,3.09,US,1675116224
456,warrnambool,-38.3833,142.4833,16.02,68,35,1.61,AU,1675116942
457,porto novo,6.4965,2.6036,27.06,79,80,3.01,BJ,1675116942
458,mafra,-26.1114,-49.8053,19.66,91,100,1.24,BR,1675116942
459,sistranda,63.7256,8.834,2.98,65,100,13.36,NO,1675116943
460,lahij,13.1667,44.5833,19.12,76,56,3.1,YE,1675116943
461,chiredzi,-21.05,31.6667,21.97,80,89,1.51,ZW,1675116943
462,bonavista,48.6499,-53.1147,2.38,83,100,6.69,CA,1675116944
